"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6076","6. Drag and Drop","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","get started link","webkit","2026-03-15","skipped","2026-03-15","","example.spec.js","",""
"","5245","2. Handle JS Confirm - Dismiss","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","5215","5. Hover over elements","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","35034","9. Dynamic Loading - Wait for element","webkit","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","16156","1. Handle JS Alert - Accept","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","30053","4. Interact with IFrame","chromium","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","has title","chromium","2026-03-15","skipped","2026-03-15","","example.spec.js","",""
"","35040","3. Handle JS Prompt - Input Text","firefox","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","448","Testing post request","chromium","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","4373","6. Drag and Drop","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","420","Updating user details","firefox","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","2869","Buttons testing","chromium","2026-03-13","passed","2026-03-13","","demo.spec.js","",""
"","6054","test box testing","webkit","2026-03-13","passed","2026-03-13","","demo.spec.js","",""
"","404","Updating user details","chromium","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","4121","8. Handle Checkboxes","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","5352","9. Dynamic Loading - Wait for element","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","30082","4. Interact with IFrame","webkit","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","4393","3. Handle JS Prompt - Input Text","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","550","Testing post request","webkit","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","17077","5. Hover over elements","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","12238","test box testing","chromium","2026-03-13","passed","2026-03-13","","demo.spec.js","",""
"","4841","7. Select from Dropdown","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","4198","1. Handle JS Alert - Accept","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","5694","5. Hover over elements","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","462","Testing post request","firefox","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","0","get started link","chromium","2026-03-15","skipped","2026-03-15","","example.spec.js","",""
"","4837","1. Handle JS Alert - Accept","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","440","Get list of users","firefox","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","4151","9. Dynamic Loading - Wait for element","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","4165","2. Handle JS Confirm - Dismiss","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","3998","Radio Button testing","webkit","2026-03-13","passed","2026-03-13","","demo.spec.js","",""
"","6217","8. Handle Checkboxes","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","428","Updating user details","webkit","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","35040","10. File Upload","webkit","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","12551","10. File Upload","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","7321","test box testing","firefox","2026-03-13","passed","2026-03-13","","demo.spec.js","",""
"","581","Get list of users","webkit","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","501","Get list of users","chromium","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","0","has title","firefox","2026-03-15","skipped","2026-03-15","","example.spec.js","",""
"","6027","Buttons testing","firefox","2026-03-13","passed","2026-03-13","","demo.spec.js","",""
"","174","Deleting user","chromium","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","1","has title","webkit","2026-03-15","skipped","2026-03-15","","example.spec.js","",""
"","4685","7. Select from Dropdown","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","30106","4. Interact with IFrame","firefox","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","5345","8. Handle Checkboxes","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","164","Deleting user","firefox","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","188","Deleting user","webkit","2026-03-15","passed","2026-03-15","","apiTesting.spec.js","",""
"","2341","Radio Button testing","chromium","2026-03-13","passed","2026-03-13","","demo.spec.js","",""
"","11856","6. Drag and Drop","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","27432","7. Select from Dropdown","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","4696","10. File Upload","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","get started link","firefox","2026-03-15","skipped","2026-03-15","","example.spec.js","",""
"","6863","Radio Button testing","firefox","2026-03-13","passed","2026-03-13","","demo.spec.js","",""
"","4868","Buttons testing","webkit","2026-03-13","passed","2026-03-13","","demo.spec.js","",""
"","30090","3. Handle JS Prompt - Input Text","webkit","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","4957","2. Handle JS Confirm - Dismiss","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
